event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
SRB4157,"01 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Moravica,Cacak,,Cacak,43.888,20.344,1,FoNet,National,"On 1 February 2025, citizens and teachers gathered in Cacak to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,8996,19979,75184,8996
SRB3883,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Farmers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Sumadija,Knic,,Knic,43.9269,20.7188,1,"N1TV Online - Serbia",National,"On 31 January 2025, farmers blocked with their tractors the intersection near the municipal building in Knic to show support for students and their demands for accountability over the Novi Sad railway station tragedy, which resulted in the deaths of 15 people, and honor the victims as part of the 'Serbia, Stop' campaign.",0,"crowd size=several hundred",1738712872,2116,3486,7375,2116
SRB3885,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Nisava,Nis-Medijana,,Nis,43.3234,21.9018,1,"N1TV Online - Serbia",National,"On 31 January 2025, health workers gathered in Nis to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=several hundred",1738712872,5189,35833,135365,5189
SRB3886,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 31 January 2025, health workers gathered in front of the Betanija Maternity Hospital in Novi Sad to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths.",0,"crowd size=no report",1738712872,9541,41595,169916,9541
SRB3887,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Podunavlje,"Smederevska Palanka",,"Smederevska Palanka",44.3654,20.9588,1,"N1TV Online - Serbia",National,"On 31 January 2025, medical staff from Smederevska Palanka gathered in front of General Hospital 'Stefan Visoki' to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths.",0,"crowd size=no report",1738712872,2287,11634,21887,2287
SRB3888,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"West Backa",Sombor,,Sombor,45.7742,19.1151,1,"N1TV Online - Serbia",National,"On 31 January 2025, health workers gathered in Sombor to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,1935,14190,42352,1935
SRB3890,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Sumadija,Kragujevac,,Kragujevac,44.0109,20.909,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens, healthcare workers, and students blocked the intersection near the Kragujevac Clinical Center to protest a recent incident in which a car driver struck doctors in Belgrade. These doctors were participating in the 'Serbia, Stop' campaign by honoring the 15 victims who lost their lives in Novi Sad when a concrete canopy collapsed at the railway station in that city and demanding accountability for their deaths.",0,"crowd size=no report",1738712872,13095,22794,115608,13095
SRB3917,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Pcinja,Bosilegrad,,Bosilegrad,42.5011,22.4723,1,"N1TV Online - Serbia",National,"On 31 January 2025, high school students gathered in Bosilegrad to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,1089,2825,4536,1089
SRB3918,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Toplica,Kursumlija,,Kursumlija,43.139,21.2735,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens and students gathered in Kursumlija to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,4311,10204,13666,4311
SRB3919,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 31 January 2025, students from Belgrade faculties, who had been marching on foot for two days arrived in Novi Sad to join their colleagues who are planning to block all three bridges in the city on February 1. This protest aims to mark three months since the tragic collapse of the railway station canopy in Novi Sad, which resulted in the deaths of 15 people. Thousands of students and citizens from Novi Sad welcomed the Belgrade students on the bridge. Together they gathered in front of the Novi Sad railway station to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, thus honoring the victims and demanding accountability for their deaths.",0,"crowd size=thousands",1738712872,9541,41595,169916,9541
SRB3920,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Raska,Tutin,,Tutin,43.0072,20.3083,1,"N1TV Online - Serbia",National,"On 31 January 2025, several hundred high school students and citizens gathered in Tutin to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=several hundred",1738712872,18,278,9152,18
SRB3921,"31 January 2025",2025,1,"Political violence; Demonstrations",Protests,"Excessive force against protesters","Protesters (Serbia)","Health Workers (Serbia)",Protesters,"Rioters (Serbia)",,Rioters,Rioters-Protesters,"Civilian targeting",688,Europe,Serbia,Belgrade,"Stari Grad",,"Belgrade - Stari Grad",44.823,20.4605,1,"N1TV Online - Serbia",National,"On 31 January 2025, health workers and citizens gathered in Palmoticeva Street in Belgrade - Stari Grad to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths. During the silent commemoration, a driver attempted to drive through the crowd, hitting two female doctors from the Institute for Mental Health. The impact caused them to fall and hit their heads on the pavement, after which they were transported to the Emergency Center.",0,"crowd size=several hundred",1738712872,9651,38334,101955,9651
SRB3922,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"Central Banat",Zrenjanin,,Zrenjanin,45.3818,20.3954,1,"N1TV Online - Serbia",National,"On 31 January 2025, high school students occupied the music high school 'Josif Marinkovic' in Zrenjanin, thus joining the students' occupations. These pupils are advocating for students' demands to be met, including the publication of documents related to the reconstruction of the Railway Station in Novi Sad, the release and dismissal of charges against those arrested during the protests, and the filing of criminal charges against individuals who attacked students during the protests.",0,"crowd size=no report",1738712872,3896,22019,71949,3896
SRB3923,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"Central Banat",Zrenjanin,,Zrenjanin,45.3818,20.3954,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens and students gathered in Zrenjanin on two occasions. They first gathered at 11:52 to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths. Later that day they gathered again to protest a recent incident in which a car driver struck doctors in Belgrade while they were honoring the Novi Sad's victims during the 'Serbia, Stop' campaign.",0,"crowd size=no report",1738712872,3896,22019,71949,3896
SRB3930,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 31 January 2025, students from the Medical Faculty and part of the employees of the Emergency Medical Service marched in protest to the Emergency Medical Service headquarters in Novi Sad. They were voicing their concerns over the delayed medical response during a violent attack on students in Novi Sad earlier that week. Protesters criticized the fact that emergency services took more than 30 minutes to arrive when a female student suffered severe injuries. Additionally, the protesters observed 15 minutes of silence as part of the 'Serbia, Stop' campaign to honor the 15 victims of the Novi Sad railway station collapse.",0,"crowd size=no report",1738712872,9541,41595,169916,9541
SRB3931,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Macva,Sabac,,Sabac,44.7538,19.6876,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens, students and health workers gathered in Sabac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,5622,18726,61358,5622
SRB3932,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Labor Group (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"N1TV Online - Serbia",National,"On 31 January 2025, citizens, high school students, parents, health workers, and employees of the Natural History Museum gathered at various locations in Belgrade to express their support for students who have been occupying their faculties across the country. They observed 15 minutes of silence as part of the 'Serbia, Stop' campaign. This movement encourages participants to pause their activities and block roads for 15 minutes to honor the 15 victims who lost their lives due to the collapse of a concrete canopy at the train station in Novi Sad and to demand accountability for this tragedy. During the protest, activists from the initiative 'The Bridge Stays' ('Most ostaje') blocked Branko's Bridge, while residents of the Krnjaca neighborhood blocked the entrance to the Pancevo Bridge in Belgrade - Palilula to additionally protest a recent incident in which a car driver struck doctors in Belgrade while they were honoring the victims from Novi Sad as part of the 'Serbia, Stop' campaign. Citizens also gathered in front of various schools to support education workers who decided to strike and suspend classes nationwide to express solidarity with the students and to advocate for their demands to be addressed.",0,"crowd size=no report",1738712872,1777,13861,33117,1777
SRB3945,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"North Backa","Backa Topola",,"Backa Topola",45.8151,19.6318,1,"N1TV Online - Serbia",National,"On 31 January 2025, around 200 citizens, education workers and high school students gathered in Backa Topola to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths.",0,"crowd size=around 200",1738712872,1712,10088,18326,1712
SRB3946,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Jablanica,Leskovac,,Leskovac,42.9976,21.9445,1,"N1TV Online - Serbia",National,"On 31 January 2025, students, high school students, teachers, and citizens gathered in Leskovac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 16 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims who lost their lives in Novi Sad, as well as their fellow citizen who was recently killed by one of his peers, and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,2615,19331,43500,2615
SRB3947,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"North Backa",Subotica,,Subotica,46.101,19.6682,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens, teachers and students blocked two major streets in front of 'Svetozar Markovic' Gymnasium in Subotica to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign, to honor the victims who lost their lives following the collapse of a concrete canopy at the Novi Sad train station and demand accountability for their deaths. Teachers announced that they would continue holding classes in the streets as an act of protest.",0,"crowd size=no report",1738712872,2521,14944,65157,2521
SRB3997,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Sumadija,Arandelovac,,Arandelovac,44.3076,20.5611,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Arandelovac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,4011,10338,28501,4011
SRB3999,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Zajecar,Boljevac,,Boljevac,43.8302,21.953,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Boljevac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,748,2114,3003,748
SRB4000,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"North Banat",Kikinda,,Kikinda,45.8323,20.4682,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Kikinda to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,2791,16701,34602,2791
SRB4001,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"Central Banat",Zrenjanin,,Lukicevo,45.3381,20.4989,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Lukicevo to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=several hundred",1738712872,1395,1382,1471,1395
SRB4002,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Zlatibor,"Nova Varos",,"Nova Varos",43.4605,19.8113,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Nova Varos to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,2316,5525,7813,2316
SRB4003,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Raska,"Novi Pazar",,"Novi Pazar",43.1375,20.5149,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Novi Pazar to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,22703,36037,104644,22703
SRB4004,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Banat",Plandiste,,Plandiste,45.2297,21.1273,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Plandiste to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,1925,3210,3432,1925
SRB4005,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Raska,Raska,,Priboj,43.4011,20.7004,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Priboj to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,35,115,574,35
SRB4006,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Toplica,Prokuplje,,Prokuplje,43.2383,21.5932,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Prokuplje to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1738712872,5047,15963,32437,5047
SRB4008,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Moravica,"Gornji Milanovac",,Rudnik,44.1398,20.4939,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Rudnik to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,351,635,937,351
SRB4011,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Banat",Vrsac,,Vrsac,45.1166,21.3036,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Vrsac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,7270,26615,42824,7270
SRB4012,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"Central Banat",Zitiste,,Zitiste,45.4854,20.5533,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Zitiste to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,958,1360,1929,958
SRB4013,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Toplica,Zitorada,,Zitorada,43.1898,21.7095,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Zitorada to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1738712872,1223,2946,6091,1223
SRB4009,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Srem,"Sremska Mitrovica",,"Sremska Mitrovica",44.9764,19.6122,1,"N1TV Online - Serbia",National,"On 31 January 2025, 2,000 citizens (according to the Archive of Public Gatherings) gathered in Sremska Mitrovica to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=2,000",1739297798,4793,15122,45891,4793
SRB4010,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Pcinja,Vranje,,Vranje,42.556,21.9002,1,"N1TV Online - Serbia",National,"On 31 January 2025, 900 citizens (according to the Archive of Public Gatherings) gathered in Vranje to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=900",1739297798,4702,23737,52631,4702
SRB3998,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa",Bac,,Bac,45.3992,19.1987,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Bac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1739305040,388,1074,5411,388
SRB4007,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa",Vrbas,,"Ravno Selo",45.4496,19.6209,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Ravno Selo to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=no report",1739305040,2825,3301,2783,2825
SRB4016,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa",Vrbas,,"Backo Dobro Polje",45.5026,19.6897,1,"N1TV Online - Serbia",National,"On 31 January 2025, between 130 and 140 citizens (according to the Archive of Public Gatherings) gathered in Backo Dobro Polje to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=between 130 and 140",1739305040,1756,2378,2506,1756
SRB4017,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Zajecar,Knjazevac,,Knjazevac,43.5663,22.257,1,"N1TV Online - Serbia",National,"On 31 January 2025, 750 citizens (according to the Archive of Public Gatherings) gathered in Knjazevac to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=750",1739305040,1939,10304,23274,1939
SRB4018,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Banat",Kovacica,,Kovacica,45.1101,20.6155,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Kovacica to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305040,2301,5530,8479,2301
SRB4019,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"Central Banat","Novi Becej",,"Novo Milosevo",45.7216,20.3052,1,"N1TV Online - Serbia",National,"On 31 January 2025, 90 citizens (according to the Archive of Public Gatherings) gathered in Novo Milosevo to show support for students who have been occupying their faculties nationwide, demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad, ultimately blaming corruption for this tragic event.",0,"crowd size=90",1739305040,2427,4458,6114,2427
SRB4020,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Pomoravlje,Svilajnac,,Svilajnac,44.2337,21.1967,1,"Juzne Vesti; N1TV Online - Serbia",National,"On 31 January 2025, 510 citizens (according to the Archive of Public Gatherings) gathered in Svilajnac to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=510",1739305040,2005,8406,13077,2005
SRB4021,"31 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Podunavlje,"Velika Plana",,"Velika Plana",44.3338,21.0767,1,"N1TV Online - Serbia",National,"On 31 January 2025, citizens gathered in Velika Plana to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305040,1805,8159,15798,1805
SRB3882,"30 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Farmers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Toplica,Kursumlija,,Raca,43.0079,21.321,1,"N1TV Online - Serbia",National,"On 30 January 2025, farmers parked their tractors in front of the municipal building in Raca and began an overnight blockade to protest the increase in property taxes. They also aimed to show support for students demanding accountability for the tragedy at the Novi Sad railway station.",0,"crowd size=several hundred",1738712872,48,223,315,48
SRB3914,"30 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"N1TV Online - Serbia",National,"On 30 January 2025, students began a two-day march from Belgrade to Novi Sad with an aim to join their colleagues in Novi Sad, who are planning to block all three bridges in the city on February 1. This protest is to mark three months since the tragic collapse of the railway station canopy in Novi Sad, which resulted in the deaths of 15 people. In Belgrade - Novi Beograd, parents of children with disabilities gathered in front of the Faculty of Dramatic Arts (FDU) to show their support for the marching students. The students took a pause in front of the Criminal and Police University (KPU) in Belgrade - Zemun, observing 15 minutes of silence as part of the 'Serbia, Stop' campaign. This moment was dedicated to honoring the victims and advocating for their demands. Along the route of the march, many citizens joined in, offering food and support to the demonstrators.",0,"crowd size=no report",1738712872,1777,13861,33117,1777
SRB3915,"30 January 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 30 January 2025, students, citizens and bikers gathered in front of the Faculty of Law in Novi Sad to support students, ensure their safety and prevent the arrival of the far-right organization 'Srpski Soko 1918' which had previously announced its intent to disrupt a student plenum at this faculty.",0,"crowd size=no report",1738712872,9541,41595,169916,9541
